#,Hierarchy Tier,Brand Name,State / Origin (HQ),Creator Handle,Followers,Views / Plays,Likes,Comments,Like-to-View %,Creator ER%,Post Date,Direct Instagram URL,Boost Status & Reason,Caption Preview
21,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@aryankatoch17,1103182,1434860,77560,409,5.41%,7.07%,2025-11-25,https://www.instagram.com/p/DReNOLZkYjJ/,⚪ Standard Organic: Baseline organic collab reach,"Some people don’t blend in, not because they can’t, but because they were never meant to.  Buransh Red is for that kind of spirit.  Inspired by Aryan Katoch, artist and musician,who never dimmed a single colour to fit in, who chose loud over safe, cu"
22,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@sharktank.india,1547638,1159630,25404,76,2.19%,1.65%,2026-01-23,https://www.instagram.com/p/DT2uRIIDEPh/,⚪ Standard Organic: Baseline organic collab reach,"The Gully Labs store is truly one of a kind. 👟🦈 @gullylabs  Watch The New Episodes  Of Shark Tank India Season 5, Streaming Now Mon-Fri, 8 PM on Sony LIV.  @anupammittal.me @boatxaman  @namitathapar @vineetasng @1kunalbahl @amitjain_cardekho  @ritesh"
23,Tier 4: Toggle OFF + Organic (Noise),Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@ananyapanday,26281819,1130905,61130,345,5.41%,0.23%,2026-03-10,https://www.instagram.com/p/DVtDoL0jKAa/,⚪ Standard Organic: Baseline organic collab reach,"Stepping out like a Hotshot! 😎 @ananyapanday shows how it’s done in her own pair of Skechers Hotshot.   Make it yours today.  #Skechers #SkechersIndia #FindYourFlow  [Skechers Hotshots collection, Lifestyle sneaker, All day comfort, Skechers urban sh"
24,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@ofthewilderness.otw,857,929125,50223,273,5.41%,5892.18%,2025-10-24,https://www.instagram.com/p/DQLsF_qEfZn/,⚪ Standard Organic: Baseline organic collab reach,From the mic to the sole - the hustle leaves its mark.  The AANDHI is here. Raga x Gully Labs.  For the ones who move different.
25,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@farakwear,70746,869524,39453,195,4.54%,56.04%,2025-11-17,https://www.instagram.com/p/DRKFvLDiLwa/,⚪ Standard Organic: Baseline organic collab reach,"COMET x FARAK.  Unboxed on popular demand. 19.11.2025.   Zameen and Aasmaan.  Some treasures are meant to be unearthed. Hand-blocked motifs, antique brushed soles, signature Farak buttons and handstitched labels with burnt edges. Every detail carries"
26,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@yesmallika,381433,848839,10602,48,1.25%,2.79%,2026-04-08,https://www.instagram.com/p/DW3yN8SjF6Y/,⚪ Standard Organic: Baseline organic collab reach,"my mom walked in on me while I was in bed sleeping with…   get your hands on the @gullylabs X @officialraga Aandhi Kobicha 👟😏  [sneakers, relatable, content, fashion, funny, mom, sneakerhead, indian, desi, homegrown]"
27,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@sooka.mag,38093,745913,42061,138,5.64%,110.78%,2025-12-11,https://www.instagram.com/p/DSH8cYgDD_E/,⚪ Standard Organic: Baseline organic collab reach,"Very few brands today understand that cultural relevance isn't a marketing tactic; it's a long-term relationship. Aryan Katoch's music has always lived in that space - grounded, sincere, and rooted in real stories even as he experiments with modern s"
28,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@gullycricket_in,630625,723671,33824,157,4.67%,5.39%,2026-06-24,https://www.instagram.com/p/DZ9T3jtNE6A/,⚪ Standard Organic: Baseline organic collab reach,"When @gullylabs passes the gully cricket vibe check ✅  the GL 002 Sprinter is a solid 10 on comfort, fit and looks  Check them out at gullylabs.com  . . . . #cricket #foryou #cricketvibes #explore #reels"
29,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@niviasports,90000,683506,2484,37,0.36%,2.80%,2025-12-23,https://www.instagram.com/p/DSm2vv4EU5v/,⚪ Standard Organic: Baseline organic collab reach,"Softie leather uppers for a premium, everyday feel. A futsal-inspired silhouette built to move, on and off the pitch. Cushioning designed for long days, late nights, and constant motion. Street-ready aesthetics backed by performance thinking. Represe"
30,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@kauraverse,93000,679068,10303,112,1.52%,11.20%,2026-02-10,https://www.instagram.com/p/DUk0adgEfbn/,⚪ Standard Organic: Baseline organic collab reach,Smell.  A sense that can transport you to a deeply cherished time. A single sniff holds the power to make you relive a million moments. Nostalgia. Freedom. Warmth. And the pure joy when all of it can be felt at once.  We expanded the Shaahi Collectio
31,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@rishiudapurkar,113651,673504,4490,21,0.67%,3.97%,2026-04-27,https://www.instagram.com/p/DXocOOLD4lH/,⚪ Standard Organic: Baseline organic collab reach,Been buying shoes for years. This is the first one I didn’t have to think twice about wearing. @gullylabs — didn’t expect this from an Indian brand but here we are. 🤍  And Mother I am sorry 🥹
32,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@myntra,8000000,623638,2325,110,0.37%,0.03%,2026-05-31,https://www.instagram.com/p/DZAb2NuzTDO/,⚪ Standard Organic: Baseline organic collab reach,Gully Labs is now on Myntra. Exclusively.  One app you already have on your phones. Now with us on it.  (And yeah - there’s something waiting for you there. Go look before everyone else does.)
33,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@aryankatoch17,1103182,566412,33364,233,5.89%,3.05%,2025-11-25,https://www.instagram.com/p/DRerq4ODIQj/,⚪ Standard Organic: Baseline organic collab reach,"I always knew Himachal deserved better representation. Not with the “magic herb” stereotype, but with dignity. We’re modern, yet sacred. We carry our Devta ji, aur apne log in everything we do. This @gullylabs collab isn’t a product , it’s a sentimen"
34,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@anikjaindesign,480418,494753,3828,45,0.77%,0.81%,2026-03-24,https://www.instagram.com/p/DWRF4Mqgfkq/,⚪ Standard Organic: Baseline organic collab reach,This is the kind of Indian design language I want to see more of…
35,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@unoindiaofficial,110348,464263,16371,197,3.53%,15.01%,2026-07-09,https://www.instagram.com/p/Dajz7EIBLlm/,⚪ Standard Organic: Baseline organic collab reach,"UNO™️ x COMET. 09.07.2026.  The deck is officially in play. Can’t SKIP this one!  Packed with hidden details, the shoe invites you to look closer. The experience is completed by a collectible life-sized UNO™️ box and a set of water tattoos!  The Vaul"
36,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@unoindiaofficial,110348,463196,12749,124,2.75%,11.67%,2026-07-08,https://www.instagram.com/p/DahN8sUBJ0h/,⚪ Standard Organic: Baseline organic collab reach,UNO™️ x COMET. 09.07.2026.  Your wild card has arrived. This one’s for collectors and for everyone who’s ever shouted “UNO”!   The Vault. Limited Drop. 800 Pairs Only. No Restocks.  Goes LIVE at 6PM on 09.07.2026.  ©️ 2026 Mattel.
37,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@myntra,8000000,457360,7638,344,1.67%,0.10%,2026-01-29,https://www.instagram.com/p/DUGJVtEidJ_/,⚪ Standard Organic: Baseline organic collab reach,@thecometuniverse is landing on Myntra.   30.01.2026. Live at 12am.  The Universe just got bigger.  #CometOnMyntra
38,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@theclassyfoodophile,560101,432116,6727,116,1.56%,1.22%,2026-05-25,https://www.instagram.com/p/DYv_okSvhSy/,⚪ Standard Organic: Baseline organic collab reach,"They said, “Why Cannes?” I said, “Why not?” ✨  From the streets of Paris to stories that felt bigger than me — every step was powered by belief, resilience, and a little bit of rebellion. 👠🇫🇷 Grateful to be walking this journey with @gullylabs 🥰  Com"
39,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@veronicasbombay,39041,405661,6645,74,1.64%,17.21%,2026-04-17,https://www.instagram.com/p/DXO5APvgXPy/,⚪ Standard Organic: Baseline organic collab reach,"COMET x VERONICA’S. 19.04.2026 🥪  We’ve been cooking for a while and we’re ready to serve.   Limited Drop. 500 Pairs Only. No Restocks.   Goes LIVE at Capsul, Bandra, Bombay on 19th April, Sunday at 10:30AM. 🧑‍🍳 @chefhussainshahzad"
40,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@kanchhiiii,477000,399033,13266,45,3.32%,2.79%,2026-01-19,https://www.instagram.com/p/DTsqXRMjCpg/,⚪ Standard Organic: Baseline organic collab reach,Jagah jagah mitar Gully Labs pehen rahein hai :)  Explore Page Gully Labs Sneakers Football Cleats
41,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@thecometnucleus,8495,391359,15638,133,4.00%,185.65%,2026-08-09,https://www.instagram.com/p/DbzyoEBhN__/,⚪ Standard Organic: Baseline organic collab reach,"ROCKETMAN. 11.08.2026 🚀  There’s something undeniably cool about watching a country build its own future in space. From the people behind the missions to the astronauts preparing for Gaganyaan, India’s first human spaceflight aboard an Indian rocket,"
42,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@officialraga,489912,388562,32166,262,8.28%,6.62%,2025-11-02,https://www.instagram.com/p/DQjQFMwDBKa/,⚪ Standard Organic: Baseline organic collab reach,"Every line he’s written sounds like someone trying to find peace in chaos. You can hear Delhi in his flow — the anger, the hunger, the rhythm of people who don’t wait to be understood.  He’s not chasing the world’s attention; he’s busy building his o"
43,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@farakwear,70746,376409,7104,161,1.89%,10.27%,2025-11-16,https://www.instagram.com/p/DRHvmnzASuW/,⚪ Standard Organic: Baseline organic collab reach,COMET x FARAK. 19.11.2025.  Heist of the year. Unearthing soon.   Special thanks to @tanmaybhat   Limited Drop. 700 Pairs Only. No Restocks.
44,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@itspalakandmahir,23571,356784,1781,6,0.50%,7.58%,2026-02-06,https://www.instagram.com/p/DUa_7KlkuZS/,⚪ Standard Organic: Baseline organic collab reach,"Who do you think was better dressed for our valentines night? ALSO CANT BELIEVE BOTH OF US GOT EACH OTHER @gullylabs 😂⭐️  Tags- [reels, relatable memes, relationship memes, dating memes, couples challenge, couples games]   #reels #relationshipmemes #"
45,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@ex_dee_anas,76988,336975,1738,32,0.52%,2.30%,2026-04-14,https://www.instagram.com/p/DXHguZkgeX-/,⚪ Standard Organic: Baseline organic collab reach,thank you yaar tune tareef ke kaabil samjha  #comedysketch #shoes #kyathatera🤔🤔🤔 #baal #baalveerreturns
46,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@officialraga,489912,334932,22899,138,6.84%,4.70%,2025-10-23,https://www.instagram.com/p/DQJs2zwEn7g/,⚪ Standard Organic: Baseline organic collab reach,"Gully Labs, Panchsheel Park, apni Dilli mein kal 5-7 baje milo, signing the first 50 pairs 💯💯"
47,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@sharktank.india,1547638,325649,5139,24,1.58%,0.33%,2026-01-23,https://www.instagram.com/p/DT2oChKEc8f/,⚪ Standard Organic: Baseline organic collab reach,"The story of an every entrepreneur! @gullylabs  Watch The New Episodes  Of Shark Tank India Season 5, Streaming Now Mon-Fri, 8 PM on Sony LIV.  @anupammittal.me @boatxaman  @namitathapar @vineetasng @1kunalbahl @amitjain_cardekho  @riteshagar @viraj."
48,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@adityab27,40490,324146,8833,117,2.73%,22.10%,2026-03-24,https://www.instagram.com/p/DWRQx_rARzr/,⚪ Standard Organic: Baseline organic collab reach,"Presenting X Lows WITH LOVE. Guest Designer Special. 25.03.2026🌸  Co-designed by Aditya Bhalla, creator, sneakerhead and culture maker.  We’re unboxing the biggest love, designed by one of the biggest voices in India’s growing sneaker culture.  This "
49,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@odd.noteven,26563,320814,8355,71,2.60%,31.72%,2026-02-04,https://www.instagram.com/p/DUVgqJ_Ae0u/,⚪ Standard Organic: Baseline organic collab reach,"COMET x ODDNOTEVEN. 06.02.2026.  Love is odd. And that’s the ultimate rebellion.  Embroidered heart motif, signature waffle sole swirled with a hit of pink, scribble-led shooting star. Every detail carries the same message. Love never plays safe.  Th"
50,Tier 4: Toggle OFF + Organic (Noise),Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@bhaiyajiismile,1118123,318465,5595,69,1.76%,0.51%,2026-02-23,https://www.instagram.com/p/DVGUG_vjDbl/,⚪ Standard Organic: Baseline organic collab reach,"Good music. Great company. The perfect sneakers 👟💖 Skechers HotShots is SUCH a vibe 💃 Now it’s your turn to step in, dance it out & #FindYourFlow ✨ #skechersindia  Shot by: @gaurav_visuals HMU: @simarrbhasin  Production: @pandeyritika0611  Assisted b"
51,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@rashmeetkaur,836917,313908,16968,90,5.41%,2.04%,2026-02-12,https://www.instagram.com/p/DUplUkjEbc_/,⚪ Standard Organic: Baseline organic collab reach,"The Baraamda remembers the tilla once worn for celebration, now steps into the present.  GL003 Shaahi carries heritage forward,  in Roja Pink and Amra Ochre,  constructed for ambition. . . . Wardrobe- @ambr_india @dayandage.in @arthatelier @leada.in "
52,Tier 4: Toggle OFF + Organic (Noise),Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@anyasinghofficial,517516,273892,16700,79,6.10%,3.24%,2026-05-15,https://www.instagram.com/p/DYWYSX4zc2V/,⚪ Standard Organic: Baseline organic collab reach,"Effortless never looked this good.  With @SkechersIndia Slip-ins™️ - no touching, no bending, just step in and go. 👟✨🔥  #Slipins #Skechers #SkechersIndia"
53,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@cmf.tech,243000,261031,7589,130,2.91%,3.18%,2026-02-03,https://www.instagram.com/p/DUTLvm6kWSq/,⚪ Standard Organic: Baseline organic collab reach,HARD WEAR: INITIALISING   Launching 04.02
54,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@sharktank.india,1547638,250075,4840,87,1.94%,0.32%,2026-01-23,https://www.instagram.com/p/DT2hIHREWMU/,⚪ Standard Organic: Baseline organic collab reach,"An Indian product that could go global! @gullylabs  Watch The New Episodes  Of Shark Tank India Season 5, Streaming Now Mon-Fri, 8 PM on Sony LIV.  @anupammittal.me @boatxaman  @namitathapar @vineetasng @1kunalbahl @amitjain_cardekho  @riteshagar @vi"
55,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@thecometnucleus,8495,238016,4377,58,1.84%,52.21%,2026-06-08,https://www.instagram.com/p/DZUyp9-t4G9/,⚪ Standard Organic: Baseline organic collab reach,How far would you go for something you love?  36000kms. From Brazil to Korea. Top secret materials. The X Lows have changed.
56,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@royalenfield,3769746,226162,12225,19,5.41%,0.32%,2026-05-13,https://www.instagram.com/p/DYRhGy4k99z/,⚪ Standard Organic: Baseline organic collab reach,"BAAZ HNTR - Raised by the streets, built for the hunt.  Royal Enfield X @gullylabs channels the raw urban instinct of the Hunter 350 into an iconic street sneakers.  Inspired by the motorcycle’s bold colourways and shaped with rider-first details, it"
57,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@thecometnucleus,8495,222197,2245,58,1.01%,27.11%,2026-06-13,https://www.instagram.com/p/DZhB8fbBwK8/,⚪ Standard Organic: Baseline organic collab reach,"F*ck around & find out is a lifestyle ⚽  The Official FAFO 2026 Referee Kit is here.  Drop shoulder jersey, red card in hand. You were never here to play nice. Never shy, never sorry.  Officiate as you please."
58,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@nirobrothers,96835,221812,7841,116,3.53%,8.22%,2026-07-11,https://www.instagram.com/p/DaprXl4Jeny/,⚪ Standard Organic: Baseline organic collab reach,S3 E27: Your sibling hates you for no reason
59,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@thecometnucleus,8495,208952,3142,84,1.50%,37.98%,2026-05-07,https://www.instagram.com/p/DYCYeBuB9tB/,⚪ Standard Organic: Baseline organic collab reach,"Apex noun ˈā-ˌpeks  plural apexes or apices ˈā-pə-ˌsēz   1. The top or highest point of something   2. The highest or culminating point  3. India’s most technical sneaker, engineered by Comet"
60,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@peachrinq,138345,196536,3976,41,2.02%,2.90%,2026-04-23,https://www.instagram.com/p/DXekEDLCsou/,⚪ Standard Organic: Baseline organic collab reach,My save urself Mumbai summer guide is here ☀️🔫  Did it all in @gullylabs latest drop 🤪🩵
61,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@adityab27,40490,194702,4401,122,2.26%,11.17%,2026-06-16,https://www.instagram.com/p/DZpmChczonx/,⚪ Standard Organic: Baseline organic collab reach,Bhai in logo ne Chappal bana di hai? Kuch bhi kar rahe hain!  @gullylabs 🩴🩴 durable toh hai Deluxe Chappal!!!
