#,Hierarchy Tier,Brand Name,State / Origin (HQ),Creator Handle,Followers,Video Content Genre,Views / Plays,Likes,Comments,Like-to-View %,Creator ER%,Post Date,Direct Instagram URL,Boost Status & Reason,Caption Preview
11,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@vishnu_porkulam_,536000,🕉️ Devotional Content & Spiritual Storytelling,1682472,124999,421,7.43%,23.40%,2025-09-10,https://www.instagram.com/p/DOa3o5Uj0-Y/,"📈 Viral Organic Reach: High organic views (1,682,472) with strong like rate (7.43%)",ഇതിന്റെ ഒക്കെ കൂടെ ജീവിക്കുന്നതിലും നല്ലെ എല്ലാം വിറ്റുപറക്കി പൊന്നയ..
12,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@safarnama.kartik,5986,"🕉️ Mantras, Japa Meditation & Puja Rituals",1237080,13699,117,1.11%,230.81%,2026-04-01,https://www.instagram.com/p/DWmD_onEnn9/,⚪ Standard Organic: Baseline organic collab reach,Silver Plated Rudraksha + Karungali Beads Mala 🕉️🔱❤️  #japam #spiritualjewelry #shiv #shiva #bholenath
13,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@_ajay_sri_,515000,"🏛️ Temple Lore, Mythology & Sanatan Philosophy",923827,12271,129,1.33%,2.41%,2026-08-01,https://www.instagram.com/p/Dbf01mVJVts/,⚪ Standard Organic: Baseline organic collab reach,"కరుంగాలి చెట్టు ఆధ్యాత్మికం గా చాలా గొప్పది. ఎంతో శక్తి వంత మైనది #virelreels #god #ajaysri #trendy #karungali   disclaimer : based on puranas and spiritual beliefs, Hindu beliefs no guarantee results."
14,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@siduncut,383000,"🕉️ Mantras, Japa Meditation & Puja Rituals",839818,128124,249,15.26%,33.52%,2025-12-27,https://www.instagram.com/p/DSxXQYwEtz6/,"📈 Viral Organic Reach: High organic views (839,818) with strong like rate (15.26%)","Ep-55: Buddha’s Physics of Touch. Japam products are available on their official site, and also on platforms like Amazon and Flipkart  #ad #buddha #buddhism #rudraksha #philosophy"
15,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@nikitindheer,733000,🕉️ Devotional Content & Spiritual Storytelling,774177,4969,123,0.64%,0.69%,2026-03-18,https://www.instagram.com/p/DWB3SmWCPkr/,⚪ Standard Organic: Baseline organic collab reach,"Not everything you wear has to just look good… some things protect your energy too ✨🖤   Lately, I’ve been wearing the Karungali Mala from Divine Hindu and honestly, it’s been such a calming addition to my everyday life. Known for protecting against t"
16,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@atouchofmystery_telugu,187000,🕉️ Devotional Content & Spiritual Storytelling,733034,68866,3697,9.39%,38.80%,2025-11-17,https://www.instagram.com/p/DRKMhczjxIT/,"📈 Viral Organic Reach: High organic views (733,034) with strong like rate (9.39%)",The God of war - Lord Karthikeya | The protector from Evil eye & Nara Drishti | A Touch of Mystery-Telugu . . Comment “Link” to get the product link on DM . . Keywords:  Karthikeya | Murugan | Skanda | God of War | Lord Karthikeya Story | Devasura Yu
17,Tier 2: Toggle ON + Organic,Isha Life India,"Pan-India / Tamil Nadu (HQ: Coimbatore, Isha)",@farukhchenda,124000,🕉️ Devotional Content & Spiritual Storytelling,621886,7293,38,1.17%,5.91%,2025-12-18,https://www.instagram.com/p/DSZzj9gghs8/,⚪ Standard Organic: Baseline organic collab reach,"मट्ठे और हल्दी से बनी देसी कड़ी, बाजरे के आटे की गरमागरम सोगरा, ऊपर से ishalife के शुद्ध घी की खुशबू… और मिठास में शहद व संजीवनी लड्डू का भरोसा 🍯✨  ये सिर्फ खाना नहीं, ये है हमारे मिट्टी के संस्कार — और इस स्वाद में साथ है 🌿 Isha Life 🌿  शुद्धता वही,"
18,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@_loveineveryframe_,124000,"🕉️ Mantras, Japa Meditation & Puja Rituals",568454,55091,164,9.69%,44.56%,2026-01-22,https://www.instagram.com/p/DT0HX4KkX-1/,"📈 Viral Organic Reach: High organic views (568,454) with strong like rate (9.69%)","Stone of love !  From ancient civilizations to modern minds, rose quartz has always symbolized love, calm, and emotional balance.  I chose a lab-tested, authentic stone from @japam.in , because intention matters — and so does trust. 🤍"
19,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@atouchofmystery_telugu,187000,"🔮 Astrology, Horoscope & Gemstone Consultation",519627,21197,833,4.08%,11.78%,2025-09-04,https://www.instagram.com/p/DOLpwR1Dyf-/,"📈 Viral Organic Reach: High organic views (519,627) with strong like rate (4.08%)",రాశులు ఎలా పుట్టాయో తెలుసా ? | How your Zodiac sign will be decided | A Touch of Mystery-Telugu . . Comment your “Zodiac sign” to get the product link & Coupon code on DM  Use coupon “TOUCH50” to get an exclusive discount of 50/- on your Order. . . K
20,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@mantra_saadhana,93000,"🕉️ Mantras, Japa Meditation & Puja Rituals",466772,5886,40,1.26%,6.37%,2026-03-06,https://www.instagram.com/p/DVi2pvWgV3C/,⚪ Standard Organic: Baseline organic collab reach,"Got a very nice real Karungali Mala 📿 from @japam.in they make some very amazing spiritual products and jewelry which is very stylish for all wear, traditional and casual #mantrasadhana"
21,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@aishwaryakaushik__,2000000,"🏛️ Temple Lore, Mythology & Sanatan Philosophy",276599,12196,183,4.41%,0.62%,2025-12-02,https://www.instagram.com/p/DRwlNe_D1Us/,⚪ Standard Organic: Baseline organic collab reach,"दोनो ही तरह की energies - सकारात्मक और नकारात्मक, हमारे ऊपर प्रभाव डालती है । कैसे हम केवल positive एनर्जी को attract करें आइए जानते हैं । ❤️🙏🏼 #Divinehindu #sanatan #hindu #mahadev #rudraksha #rudra #hindu #aishwaryakaushik #promotion #ad #shiv #shi"
22,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@shrestha_mohanty20,90000,"🕉️ Mantras, Japa Meditation & Puja Rituals",246306,2809,57,1.14%,3.18%,2025-12-18,https://www.instagram.com/p/DSZ3NYFETtG/,⚪ Standard Organic: Baseline organic collab reach,"3rd vaala point is most important! 🫂💝✨ . Also, don’t forget to check out @japam.in for the best spiritual accessories! 🧿 . . . . . #datingtipsformen #dayingtipsforwomen #relationshipadvice101 #relationshipadviceforwomen #relationshipadviceformen #how"
23,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@ibhavna90,284000,"🔮 Astrology, Horoscope & Gemstone Consultation",230525,3,50,0.00%,0.02%,2026-03-31,https://www.instagram.com/p/DWijA4dDHyw/,⚪ Standard Organic: Baseline organic collab reach,Energy is everything ✨ Protect it. Elevate it. Feel it. 💫  #Ad #EnergyMatters #DivineHindu #astrology #creator
24,Tier 2: Toggle ON + Organic,Isha Life India,"Pan-India / Tamil Nadu (HQ: Coimbatore, Isha)",@shiv_shakti__soul,16000,🕉️ Devotional Content & Spiritual Storytelling,173265,6131,40,3.54%,38.57%,2026-02-01,https://www.instagram.com/p/DUN2tZjiBPv/,"📈 Viral Organic Reach: High organic views (173,265) with strong like rate (3.54%)",Mahadev Abhishek🪷 Samagri from : @isha.life.india   #bholenath #mahakal #viralvideos
25,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@_loveineveryframe_,124000,🕉️ Devotional Content & Spiritual Storytelling,163111,8117,117,4.98%,6.64%,2026-02-21,https://www.instagram.com/p/DVArM2JkUbt/,"📈 Viral Organic Reach: High organic views (163,111) with strong like rate (4.98%)",In this process Rudraksha helped me ! @karungali_by_divinehindu   #trending #fypシ #explore #truelove #rudraksha
26,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@manvendra28,658000,🕉️ Devotional Content & Spiritual Storytelling,148783,3591,40,2.41%,0.55%,2026-04-20,https://www.instagram.com/p/DXWOnEeD2fj/,⚪ Standard Organic: Baseline organic collab reach,3 Signs of A High Value Woman . . . . #woman #heartbreak #love #women
27,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@yashvii___a,81000,"🕉️ Mantras, Japa Meditation & Puja Rituals",146659,4510,21,3.08%,5.59%,2025-12-13,https://www.instagram.com/p/DSM84Q8AUp9/,"📈 Viral Organic Reach: High organic views (146,659) with strong like rate (3.08%)","[88/365] kuchh cheezein humein jaankar add karte rehna chahiye for balance , abundance and protection :)  Grateful to @japam.in for being a conscious addition to my unfinished room. It is India’s largest spiritual accessories brand. Additionally, all"
28,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@harsh_nagpal,30000,🕉️ Devotional Content & Spiritual Storytelling,146017,10362,171,7.10%,35.11%,2026-08-18,https://www.instagram.com/p/DcLbPLgv79k/,"📈 Viral Organic Reach: High organic views (146,017) with strong like rate (7.1%)","A Rakhi is more than a thread — it’s a reminder of the bond, the protection and everything you wish for your brother. ❤️  This Raksha Bandhan, I’m choosing something that carries a little more meaning — the Silver-Plated Ganesh Karungali Rakhi hamper"
29,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@toshti_gupta,92000,🕉️ Devotional Content & Spiritual Storytelling,143290,3,154,0.00%,0.17%,2026-05-04,https://www.instagram.com/p/DX58376oeEZ/,⚪ Standard Organic: Baseline organic collab reach,"Success attract करना है? ✨ Then mindset बदलना पड़ेगा 💯  I’ve started using the Ultimate Success Magnet Band 💫  Designed to boost positivity, focus & confidence.  ✔️ Authentic Product ✔️ Lab Tested ✔️ Natural Stones  अगर आप भी अपने goals achieve करना "
30,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@srishtihihihihi,117000,"🕉️ Mantras, Japa Meditation & Puja Rituals",141330,9255,24,6.55%,7.93%,2026-02-17,https://www.instagram.com/p/DU3RE5TEtAr/,"📈 Viral Organic Reach: High organic views (141,330) with strong like rate (6.55%)",“Har baar trauma mil jata h 🙃” Money magnet bracelet by @japam.in. Order now from https://www.japam.in  #ad #relatable #psychology #lifelesson trending
31,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@divinelight_harsh,510000,"🕉️ Mantras, Japa Meditation & Puja Rituals",140857,7232,86,5.13%,1.43%,2025-11-12,https://www.instagram.com/p/DQ8qoFNEnH7/,⚪ Standard Organic: Baseline organic collab reach,"Where spirituality meets style ✨ @japam.in brings authentic, handcrafted jewelry designed to radiate strength, positivity, and purpose. Shop the collection at www.japam.in  💫  #collab #paid #japam"
32,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@aviralsongara,210000,"🕉️ Mantras, Japa Meditation & Puja Rituals",137109,4680,28,3.41%,2.24%,2025-10-16,https://www.instagram.com/p/DP3Bt6qkUvR/,⚪ Standard Organic: Baseline organic collab reach,"Pyrite Wealth Band by @japam.in is more than just a bracelet — it’s a symbol of focus, confidence & powerful energy. Every piece by Japam is authentic and lab-tested, crafted with purpose and meaning.  Discover the collection at 👉 japam.in  Paid Part"
33,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@prathmeshparrdeshi,150000,🕉️ Devotional Content & Spiritual Storytelling,134585,8544,99,6.35%,5.76%,2026-02-13,https://www.instagram.com/p/DUs92cyk8Eg/,"📈 Viral Organic Reach: High organic views (134,585) with strong like rate (6.35%)",Bharosa rakho sab thik hojayega!❤️ . . . #believe  #god #mother #job #motivation
34,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@the_fashion_maverick,127000,🕉️ Devotional Content & Spiritual Storytelling,113547,2167,667,1.91%,2.23%,2025-08-14,https://www.instagram.com/p/DNVGWK_yfUS/,⚪ Standard Organic: Baseline organic collab reach,"TRY GENUINE KARUNGALI MALA FOR SPIRITUAL WELL-BEING AND PEACEFUL ,POSITIVE ENERGY AROUND YOU  . . . . #men #life #karungalimala #dhanush #hindu #bharath"
35,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@deefvckk,82000,🕉️ Devotional Content & Spiritual Storytelling,113194,808,104,0.71%,1.11%,2026-08-04,https://www.instagram.com/p/Dbnwf3ACuXq/,⚪ Standard Organic: Baseline organic collab reach,"I never expected such a simple change to make such a big difference.   Wearing this every day reminds me to stay positive, focused, and connected to my faith. If you’re looking for a meaningful spiritual accessory, this is definitely worth trying.   "
36,Tier 2: Toggle ON + Organic,Isha Life India,"Pan-India / Tamil Nadu (HQ: Coimbatore, Isha)",@krishmaharana,106000,🎉 Festival & Auspicious Muhurat Activations,102746,1182,167,1.15%,1.27%,2026-02-15,https://www.instagram.com/p/DUx2eYRDDLD/,⚪ Standard Organic: Baseline organic collab reach,"As the dhoop rises and incense whispers devotion, I feel closer to Adiyogi… closer to stillness… closer to myself. This Mahashivratri, Isha Life offerings turned my prayers into an experience of the Divine. ✨  #Mahashivratri2026 #IshaLife #Adiyogi #S"
37,Tier 2: Toggle ON + Organic,Isha Life India,"Pan-India / Tamil Nadu (HQ: Coimbatore, Isha)",@_noopur_deshpande_,15000,✨ Spiritual Lifestyle & Modern Wellness,98982,1501,477,1.52%,13.19%,2026-06-19,https://www.instagram.com/p/DZu10oVCe7z/,⚪ Standard Organic: Baseline organic collab reach,"Comment “Link” for outfits details 🛍️💌  #AD  [Summer co-ord sets, cotton sets, college outfits, work outfit, work wear, comfortable daily wear]"
38,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@aviralsongara,210000,"🕉️ Mantras, Japa Meditation & Puja Rituals",87034,3221,16,3.70%,1.54%,2026-03-20,https://www.instagram.com/p/DWGEImogHm2/,⚪ Standard Organic: Baseline organic collab reach,"Money Magnet Fusion Band from @japam.in is more than just a bracelet - it’s a symbol of focus, confidence & powerful energy. Every piece by Japam is authentic and lab-tested, crafted with purpose and meaning.  Discover the collection at 👉 japam.in   "
39,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@atouchofmystery_telugu,187000,🕉️ Devotional Content & Spiritual Storytelling,83239,3230,250,3.88%,1.86%,2025-09-25,https://www.instagram.com/p/DPB2_bXD1wN/,⚪ Standard Organic: Baseline organic collab reach,Connection between Lord Murugan & Karungali Mala | How Karungali mala is connected to Karthikeya | A Touch of Mystery - Telugu . . Comment “Link” to get product link on DM . . Keywords:   Bogar Siddhar | Palani Murugan | Paathala Shambu Murugam | Kar
40,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@srijlaguha,477000,🕉️ Devotional Content & Spiritual Storytelling,78036,2893,47,3.71%,0.62%,2026-03-16,https://www.instagram.com/p/DV8XD0_EW2i/,⚪ Standard Organic: Baseline organic collab reach,"Discover the power of divine protection with the Mahadev Protection Pendant from @divinehindu.in   Crafted with sacred rudraksha and natural elements, each piece is designed to bring positivity, strength, and spiritual balance into your life. Every p"
41,Tier 2: Toggle ON + Organic,Isha Life India,"Pan-India / Tamil Nadu (HQ: Coimbatore, Isha)",@esyraen,3621,🌟 Celebrity & Spiritual Leader Endorsement,76225,1174,30,1.54%,33.25%,2026-02-15,https://www.instagram.com/p/DUxV6k1kkP5/,⚪ Standard Organic: Baseline organic collab reach,Peace over noise🤍  Saree @isha.life.india   #mahashivaratri #ishalife #shivalingam #adiyogi #sadhguru
42,Tier 2: Toggle ON + Organic,Isha Life India,"Pan-India / Tamil Nadu (HQ: Coimbatore, Isha)",@withsadhguru,978000,🌟 Celebrity & Spiritual Leader Endorsement,71761,3879,17,5.41%,0.40%,2026-03-20,https://www.instagram.com/p/DWGsiHigT2T/,⚪ Standard Organic: Baseline organic collab reach,#repost @sadhguru  Participants of the Mystic Musings Program explored Udaipur with Sadhguru.   Explore Adiyogi t-shirts on ishalife.com  #ishalife #forconsciousliving #sadhguru #adiyogi
43,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@raminsightsoffical,304000,"🏛️ Temple Lore, Mythology & Sanatan Philosophy",68215,3,251,0.00%,0.08%,2026-01-20,https://www.instagram.com/p/DTu4kwvExdK/,⚪ Standard Organic: Baseline organic collab reach,మనిషిపై పడిన చెడు దృష్టి (కన్ను దోషం) తొలగించే మార్గం 🧿 || Share this video 🙏 || Raminsightsoffical . . .  #telugu #trending #devotional #mythology #karungalimala
44,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@mantra_saadhana,93000,"🕉️ Mantras, Japa Meditation & Puja Rituals",62473,4948,99,7.92%,5.43%,2026-03-28,https://www.instagram.com/p/DWazbY0gV5q/,"📈 Viral Organic Reach: High organic views (62,473) with strong like rate (7.92%)",Do you know what all Hindus wear on their necks? It’s called Tulasi Mala 📿 and it’s not just a necklace it’s a symbol of love and devotion to lord Krishna 🪈Get your mala from @divinehindu.in #mantrasadhana
45,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@aaradhyasinghhhh,161000,"🕉️ Mantras, Japa Meditation & Puja Rituals",61087,3,41,0.00%,0.03%,2026-05-05,https://www.instagram.com/p/DX9Msp3P_uw/,⚪ Standard Organic: Baseline organic collab reach,"Not just a mala, it’s a connection to peace 🌿 Elevate your aura with Double Layer Tulsi Mala. Wear faith. Wear power. Shop now at @japam.in   #tulsimala #mala #japam #explore #ad  @aaradhyasinghhhh"
46,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@hitjukripa_,39000,"🕉️ Mantras, Japa Meditation & Puja Rituals",58087,1890,45,3.25%,4.96%,2025-12-02,https://www.instagram.com/p/DRwpdUECLS_/,"📈 Viral Organic Reach: High organic views (58,087) with strong like rate (3.25%)","Read caption 🌻 Benefit of wearing tulsi mala  ✨spiritual growth ✨mental peace ✨protection from negative energies  To get your authentic tulsi mala with beautiful designs, visit @japam.in ✨"
47,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@hightime_voice,69000,"🕉️ Mantras, Japa Meditation & Puja Rituals",57916,843,51,1.46%,1.30%,2026-02-25,https://www.instagram.com/p/DVLmxlhkvhE/,⚪ Standard Organic: Baseline organic collab reach,"Balanced. Protected. Prosperous. ✨Check out this incredible pyrite and seven chakra band made by 🔗 @Japam.in. The seven chakra stones can help you balance your chakras 🕉️, while pyrite can assist you in drawing wealth and self-assurance. Crystals and"
48,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@mystery_with_revanth,259000,"📦 Unboxing, Gifting & Product Review",54441,3,23,0.01%,0.01%,2026-06-27,https://www.instagram.com/p/DaFg5j-SetI/,⚪ Standard Organic: Baseline organic collab reach,Powerful Vel kada & Karungali bracelet combo✨ . . @divinehindu.in #spiritual #hindu #divinehindu
49,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@jagritikatyal,32000,"🕉️ Mantras, Japa Meditation & Puja Rituals",53857,540,14,1.00%,1.73%,2026-03-15,https://www.instagram.com/p/DV6OUcXk26J/,⚪ Standard Organic: Baseline organic collab reach,BHAI WHAT AN EXPERIENCE! 🥹  officially old enough to go for bhajan clubbing instead of concerts/clubbing 🤭💖  @japam.in thank you for the beautiful rudraksha bracelet and the rudraksha mala 💖 (& for this experience☺️)  @saazprakharlive aap logo ki awa
50,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@vedicvisa,52000,"🕉️ Mantras, Japa Meditation & Puja Rituals",53108,897,25,1.69%,1.77%,2026-08-12,https://www.instagram.com/p/Db72aOsSO37/,⚪ Standard Organic: Baseline organic collab reach,Do you know real meaning of Rakshabandhan 🪷🙏 Celebrate Rakshabandhan with @japam.in 🥳🎉 Radha Krishna Rakhi Festival 🪅✨ #radha #krishna #rakhispecial #explore #foryoupage
51,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@anuskaananya,96000,"🕉️ Mantras, Japa Meditation & Puja Rituals",53015,575,16,1.08%,0.62%,2025-12-15,https://www.instagram.com/p/DSSltPJjQfy/,⚪ Standard Organic: Baseline organic collab reach,Carry what grounds you. Wear what protects you. ✨ . . . . . . #ad #Japam #JapamJewels #IntentionalLiving #MindfulWear #GroundedEnergy #AlignedEnergy #ProtectionWear #SacredAccessories  #bangaloreinfluencer
52,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@sagarchoudhury_arts,125000,"🕉️ Mantras, Japa Meditation & Puja Rituals",52793,1569,15,2.97%,1.27%,2025-10-19,https://www.instagram.com/p/DP-wuIYAfKz/,⚪ Standard Organic: Baseline organic collab reach,"This Diwali, I wanted something more than lights and sweets — a little peace, a little purpose. ✨ That’s when I found Japam’s lab-tested, 100% pure Rudraksha mala — it’s not just jewelry, it’s a vibe. Every bead feels like calm energy in your hands. "
